paper_id,title,field,value,status,page,manual_decision,rationale,snippet
paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,models_or_methods,harmonic self-conditioned flow matching,supported,9,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","el. Nature Machine Intelligence, 6(2):195–208, 2024. H. St¨ark, O. Ganea, et al. Equibind: Geometric deep learning for drug binding structure prediction. In International conference on machine learning, pages 20503–20521. PMLR, 2022. H. Stark, B. Jing, et al. Harmonic self-conditioned flow matching for joint multi-ligand docking and binding site design. In Forty- first International Conference on Machine Learning, 2024. A. Tong, K. Fatras, and others. Improving and generalizing flow-based generative models with minibatch optimal transport. Transactions"
paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,models_or_methods,continuous normalizing flow,supported,3,accept,Accepted as a main task or own method/component after manual review.,"tory ρ0 →ρ1 to ρt using ψt as ρt = [ψt]#(ρ0), with ψ0(x) = x for u : [0, 1] × M →M (i.e., a smooth time- dependent vector field (Bose et al., 2024)). This insight allows one to perform flow matching (FM) (Chen and Lipman, 2024) between ρ0 and ρ1 by learning a continuous normalizing flow (Papamakarios et al., 2021) to approximate the vector field ut with the parametric vθ. With ρ0 = ρprior and ρ1 = ρdata, we have that ρt advantageously permits simulation-free training. Although it is not possible to derive a closed form for ut (which generate"
paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,models_or_methods,PLINDER,supported,7,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","to generalize to novel binding pockets, yet FlowDock achieves top performance in this regard by tying with single-sequence Chai-1. Further, to address this generalization issue, our preliminary results fine-tuning FlowDock for 48 hours using the new, diverse PLINDER (Durairaj et al., 2024) dataset (i.e., FlowDock-PFT), where we use the dataset’s crystal apo-to- holo mapped protein-ligand complex structures contained within its default PL50 training split and deposited in the PDB before 2018, suggest that comprehensively"
paper_003,Harmonic Self-Conditioned Flow Matching for joint Multi-Ligand Docking and Binding Site Design,models_or_methods,Riemannian flow matching,supported,9,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","generate physi- cally valid poses or generalise to novel sequences, 2023. Campbell, A., Harvey, W., Weilbach, C., Bortoli, V. D., Rainforth, T., and Doucet, A. Trans-dimensional genera- tive modeling via jump diffusion models, 2023. Chen, R. T. and Lipman, Y. Riemannian flow matching on general geometries. arXiv preprint arXiv:2302.03660, 2023. Chen, T., Liu, G.-H., and Theodorou, E. Likelihood train- ing of schr¨odinger bridge using forward-backward SDEs theory. In International Conference on Learning Rep- resentations, 2022a. URL https:"
paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,models_or_methods,continuous normalizing flow,supported,2,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","odeling and the generation of energetically favorable poses. 2 BACKGROUND AND RELATED WORK Flow matching. Given two distributions q0 and q1, Flow Matching (Lipman et al., 2022; Albergo et al., 2023) provides a way of learning a vector field vt which induces a continuous normalizing flow ψt(x) that transports q0 to q1, i.e., q1(x) = [ψ1]#q0(x), where # denotes the pushforward operator. The key idea in FM is to define a conditional flow ψt(x0|x1) interpolating between x0 ∼q0 and x1 ∼q1, and its associated vector field ut(xt|x1) = d dtψt(xt|x1)"
paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,models_or_methods,PoseBusters,supported,2,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","RMSD below 1Å) from 32% of DiffDock-Pocket to 42% while having the same training data and model architecture. Furthermore, thanks to the relaxation flow, the generated poses are far more physically realistic, as demonstrated by the proportion of poses passing PoseBusters checks (Buttenschoen et al., 2024) which increases from 30% to 73%. In summary, we propose Unbalanced Flow Matching, a new distribution matching framework, and prove it provides a way to balance sample efficiency and sample quality. Furthermore, by chaining t"
paper_004,Composing Unbalanced Flows for Flexible Docking and Relaxation,models_or_methods,DiffDock,supported,2,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","LEXDOCK enhances structure prediction quality, especially for protein conformations. On the PDBBind flexible pocket-based dock- ing benchmark, FLEXDOCK improves the proportion of very accurate protein structure predictions (all-atom RMSD below 1Å) from 32% of DiffDock-Pocket to 42% while having the same training data and model architecture. Furthermore, thanks to the relaxation flow, the generated poses are far more physically realistic, as demonstrated by the proportion of poses passing PoseBusters checks (Buttenschoen et"
paper_005,ForceFM: Enhancing Protein-Ligand Predictions through Force-Guided Flow Matching,models_or_methods,conditional flow matching,supported,4,accept,Accepted as a main task or own method/component after manual review.,"esponding tangent vector fields ut(x) ∈TxM. Flow Matching (FM) [29, 30] approximates ut(x) by a learned vector field vt(x), minimizing LRFM(θ) = Et, pt(x) vt(x) −ut(x) 2 g, where ∥· ∥g is the Riemannian norm and θ the parameters of vt. In practice, we use the Conditional Flow Matching (CFM) formulation: LCRFM(θ) = Et∼U(0,1), p1(x1), pt(x|x1) vt(x) −ut(x | x1) 2 g, which is easier to compute. Once trained, sampling from the data distribution is performed by integrating the learned ODE d dtφt(x) = vt(φt(x)), transforming points from the prio"
paper_005,ForceFM: Enhancing Protein-Ligand Predictions through Force-Guided Flow Matching,models_or_methods,DiffDock,supported,9,reject,"Baseline, related-work method, dataset/benchmark name, metric, or insufficient own-method evidence.","e 2(a) reveals a clear stratification among the evaluated pipelines. The pure deep-learning (DL) baselines methods including “Ours” show poor energetic reasoning, underscoring the pitfalls of relying on geometric alignment alone. Crucially, supplementing both DiffDock and our method with force guidance produces a dramatic jump in physical validity. For DiffDock, the best guidance option (+Glide) lifts the pass rate from 14.3% to 25.6%—an absolute gain of 11.3% and a relative improvement of about 79%. Our method benefits ev"
paper_006,PLINDER: The protein-ligand interactions dataset and evaluation resource,task,protein-ligand binding pose prediction,weak,1,reject,"Too broad, weakly supported, or not central enough for the benchmark gold schema.",PLINDER: The protein-ligand interactions dataset and evaluation resource Janani Durairaj * 1 2 Yusuf Adeshina * 3 Zhonglin Cao 4 Xuejin Zhang 3 Vladas Oleinikovas 3 Thomas Duignan 3 Zachary McClure 4 Xavier Robin 1 2 Gabriel Studer 1 2 Daniel Kovtun 3 Emanuele Rossi 3 Guoqi
