paper_id,title,field,value,status,page,decision,reason,snippet
paper_001,NeuralPLexer3: Accurate Biomolecular Complex Structure Prediction with Flow Models,models_or_methods,pairformer,supported,4,add,Supported method/component with proposed-method context.,"e sequence alignment (MSA) [16, 17] features obtained via an improved pairing algorithm are assigned to these anchor atoms. The encoder comprises embedding layers to project all atom, bond and stereochemistry features; a hierarchical MSA Module; and AF3-style PairFormer blocks. The decoder consists of flow blocks using a diffusion transformer [18] (DiT) architecture with additional geometric bias and modern normalization layers and layer initialization techniques. Each flow block operates first on anchor atoms using dense at"
paper_001,NeuralPLexer3: Accurate Biomolecular Complex Structure Prediction with Flow Models,metrics,number of sampling steps / convergence speed,supported,9,add,Supported metric value absent from the original gold row.,"B). Unlike AF3 [1] which requires approximately six A100-minutes per prediction, NP3 generates results in approximately 30 seconds using a single L40S GPU. This efficiency is also attributed to removing the expensive trunk recycling operations and cutting the number of sampling steps to 40 by leveraging optimal-transport flow samplers (Figure S1). Ligand-induced Conformational Change Prediction While NP3’s advancements in prediction accuracy and speed represent significant progress, standardized benchmarks remain cr"
paper_001,NeuralPLexer3: Accurate Biomolecular Complex Structure Prediction with Flow Models,metrics,pocket all-atom RMSD,supported,27,add,Supported metric value absent from the original gold row.,ilarity while still considering global structural features when discriminating between similar candidates. Conformational Change Validation: Structure pairs were required to exhibit at least one of the following: • Global RMSD > 1.5Å • Pocket Cα RMSD > 1.5Å • Pocket all-atom RMSD > 1.5Å S.7.2 ConfBench Scoring Protocol The ConfBench scoring protocol introduces several key technical advances to address quantifying the quality of prediction of ligand-induced conformational changes: • A robust protocol for identifying and mapping binding
paper_001,NeuralPLexer3: Accurate Biomolecular Complex Structure Prediction with Flow Models,metrics,PoseBusters pass rate / physical validity,supported,13,add,Supported metric value absent from the original gold row.,"numbers for these methods were derived from Abramsom et al (Extended Data Table 1) [1]. For protein targets from the dataset of recent PDB structures (NPBench), NP3’s performance was compared to AlphaFold-Multimer 2.3 using ColabFold [8]. Five seeds were generated per target, and the top-ranked conformers were scored using both NP3 metrics and the ""multimer"" metric provided by AlphaFold-Multimer [31]. For CASP15 RNA targets, NP3 was benchmarked against AF3 and Alchemy_RNA2 [34]. Baseline metrics for these methods w"
paper_001,NeuralPLexer3: Accurate Biomolecular Complex Structure Prediction with Flow Models,metrics,binding affinity,supported,6,review,Generic metric label; confirm whether the paper reports it as a main evaluation metric.,"15.9%, and 38%, respectively. Importantly, NP3 also achieves 98.8% accuracy in predicting ligand stereochemistry (Figure 1B). This is critical for downstream drug design applications, as accurate stereochemical predictions are essential for optimizing ligand binding affinity and pharmacological activity, ensuring the development of effective and selective therapeutic compounds. To further evaluate NP3’s performance on nucleic acids, covalent ligands, and protein interaction accuracies, we introduced a new benchmarking suite, NPBe"
paper_001,NeuralPLexer3: Accurate Biomolecular Complex Structure Prediction with Flow Models,metrics,steric clashes,supported,25,add,Supported metric value absent from the original gold row.,"dicted_Fnat)/3 where: • iRMS_scaled_lr = 1 / (1 + (mean(pDE2)) / 8.52) • iRMS_scaled_sr = 1 / (1 + (mean(pDE2)) / 1.52) • Predicted_Fnat = mean(pDE < 5.0) Ranking Methodology: Sample ranking leverages adjusted pLDDT and pDockQ values. Scores are penalized for steric clashes, ensuring physically plausible configurations. • For a ligand of interest, LG: Score = pLDDT(LG) – 1000 * (is_clash + is_chirality_violation) • For chain A of interest: Score = pDockQ(A, A) • For chain pair (A, B) of interest: Score = pDockQ(A, B). S.6 Evalua"
paper_001,NeuralPLexer3: Accurate Biomolecular Complex Structure Prediction with Flow Models,metrics,GPU memory,supported,9,add,Supported metric value absent from the original gold row.,"ercentiles. Vertical lines on the scatter plot indicate the median prediction confidence. compiler for writing highly efficient custom Deep-Learning primitives, enhances efficiency, allowing for training on larger sequences and crop sizes while staying within GPU memory constraints. Experimental results underscore the effectiveness of Flash-TriangularAttention (Figure 4). Peak memory usage decreases by 5× compared to a naive implementation as crop size increases, enabling the model to scale effectively, while the forward pas"
paper_001,NeuralPLexer3: Accurate Biomolecular Complex Structure Prediction with Flow Models,metrics,runtime,supported,10,review,Generic metric label; confirm whether the paper reports it as a main evaluation metric.,"usage for longer residues, enabling samples with residues exceeding 1024 to run on one H100 GPU (80GB). (C) the inference time of the Flash-TriangularAttention and Pytorch built-in SDPA. The figure shows that our implementation significantly reduces inference runtime—for example, by 38% at a residue of 1024. of proteins with induced conformational changes. To address this need we developed ConfBench, a conformational benchmark that systematically evaluates ligand- induced conformational changes across the proteome and ass"
paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,models_or_methods,harmonic self-conditioned flow matching,supported,9,review,Method evidence does not clearly say it is the paper's proposed method.,"el. Nature Machine Intelligence, 6(2):195–208, 2024. H. St¨ark, O. Ganea, et al. Equibind: Geometric deep learning for drug binding structure prediction. In International conference on machine learning, pages 20503–20521. PMLR, 2022. H. Stark, B. Jing, et al. Harmonic self-conditioned flow matching for joint multi-ligand docking and binding site design. In Forty- first International Conference on Machine Learning, 2024. A. Tong, K. Fatras, and others. Improving and generalizing flow-based generative models with minibatch optimal transport. Transactions"
paper_002,FlowDock: Geometric Flow Matching for Generative Protein-Ligand Docking and Affinity Prediction,models_or_methods,generative flow matching model,supported,2,add,Supported method/component with proposed-method context.,"publicly available for benchmarking comparisons. In Section 3.3, we describe flow matching in detail. Contributions. In light of such prior works, our contributions in this manuscript are as follows: • We introduce the first simple yet state-of-the-art hybrid generative flow matching model capable of quickly and accurately predicting protein-ligand complex structures and their binding affinities, with source code and model weights freely available. • We rigorously validate our proposed methodology using standardized benchmarking data for protei"
