paper_id,filename,title,include_in_benchmark,paper_type,task,datasets,models_or_methods,metrics,review_notes,verification_status
paper_006,2024.07.17.603955v3.full.pdf,PLINDER: The protein-ligand interactions dataset and evaluation resource,yes,dataset / evaluation resource,protein-ligand interaction dataset curation; leakage-controlled train/test split construction; protein-ligand docking generalization evaluation,PLINDER; PLINDER-NR; PLINDER-PL50; PLINDER-TIME; PLINDER-ECOD; PoseBusters; PDBBind; DockGen,PLINDER; leakage-minimizing split generation; protein/pocket/interaction/ligand-level similarity annotation; paired apo and predicted structure annotation,protein/pocket/interaction/ligand similarity metrics; leakage / train-test similarity; test set quality; ligand RMSD; top-1 docking success rate,"Revised to keep PLINDER and its splits as the main dataset objects. DiffDock retraining is an evaluation protocol/baseline use, not a proposed model method in this paper.",verified; conservative revision
paper_007,2202.05146v4.pdf,EquiBind: Geometric Deep Learning for Drug Binding Structure Prediction,yes,non-flow docking baseline / model paper,drug-protein binding structure prediction; blind protein-ligand docking; receptor binding-location prediction; ligand bound-pose and orientation prediction; ligand torsion refinement,PDBBind v2020; PDBBind time-based split; PDBBind 2019 test set,EquiBind; SE(3)-equivariant geometric deep learning; direct-shot binding pose prediction; keypoint-based rigid alignment; von Mises torsion-angle conformer fitting,ligand RMSD / L-RMSD; centroid distance; Kabsch-RMSD; percentage below 2 Å; percentage below 5 Å; RMSD percentiles; runtime / inference speed,"Added Kabsch-RMSD because it is explicitly listed in the evaluation metrics. QuickVina/SMINA are fine-tuning/baseline components, not core proposed method terms.",verified; minor metric correction
paper_008,2210.01776v2.pdf,"DiffDock: Diffusion Steps, Twists, and Turns for Molecular Docking",yes,non-flow docking baseline / model paper,molecular docking; protein-ligand binding pose prediction; blind docking; generative modeling of ligand poses; confidence estimation for docking poses,PDBBind; PDBBind time split / 2019 test complexes; computationally folded protein structure evaluation setting,"DiffDock; diffusion generative model over ligand poses; diffusion on translational, rotational and torsional degrees of freedom; non-Euclidean manifold diffusion; confidence model for pose ranking",top-1 RMSD < 2 Å success rate; ligand RMSD; centroid distance; percentage below 2 Å; percentage below 5 Å; RMSD percentiles; selective accuracy; inference time,"Centroid distance and top-1/top-5 threshold metrics are explicitly reported in appendix metrics. Computationally folded structures are an evaluation setting, not a separate named dataset.",verified; conservative revision
paper_009,2310.02391v4.pdf,SE(3) Stochastic Flow Matching for Protein Backbone Generation / FoldFlow,yes,flow matching protein generation model,protein backbone generation; de novo protein structure generation; unconditional protein backbone design; generative modeling over SE(3); equilibrium conformation generation,"PDB subset / PDB-derived 22,248-protein training set; BPTI molecular-dynamics trajectory evaluation set",FoldFlow; FoldFlow-Base; FoldFlow-OT; FoldFlow-SFM; SE(3) stochastic flow matching; Riemannian optimal transport; simulation-free continuous-time dynamics; stochastic continuous-time dynamics over SE(3),designability; scRMSD; diversity / average pairwise TM-score; novelty / max TM-score to PDB or training set; fraction with max TM-score < 0.5 and scRMSD < 2 Å; iterations per second; KL divergence for conformation sampling,Removed vague “protein backbones up to 300 aa” from datasets. Kept it as task/evaluation scope rather than a dataset name.,verified; dataset wording made conservative
paper_010,2310.05297v2.pdf,FrameFlow: Fast Protein Backbone Generation with SE(3) Flow Matching,yes,flow matching protein generation model,protein backbone generation; de novo protein design; fast protein backbone sampling; SE(3)-frame generation,SCOPe dataset,FrameFlow; SE(3) flow matching; FrameDiff adaptation to flow matching; FramePred architecture; Invariant Point Attention; self-conditioning; SE(3) inference scheduler,designability; scRMSD; diversity / structural clusters; novelty / pdbTM; TM-score; sampling timesteps; sampling speedup,"FrameDiff, Genie and RFdiffusion are baselines and should not be listed as proposed methods.",verified
paper_011,2311.15201v3.pdf,DiffBindFR: An SE(3) Equivariant Network for Flexible Protein-Ligand Docking,yes,non-flow flexible docking baseline / model paper,flexible protein-ligand docking; full-atom protein-ligand binding-structure prediction; ligand binding-pose prediction; protein pocket side-chain conformation prediction; apo and AlphaFold2-structure-based docking,PDBbind v2020; PDBbind time split; PoseBusters test set; Apo dataset; AlphaFold2 modeled structures,DiffBindFR; full-atom diffusion-based flexible docking; SE(3)-equivariant network; product-space diffusion over ligand rotation/translation/torsion and pocket side-chain torsions; MDN scoring model,ligand RMSD; centroid distance; RMSD < 2 Å; RMSD < 5 Å; pocket side-chain RMSD; PoseBusters validity; steric clashes / physical plausibility; runtime,Removed generic “cross-docking benchmark” unless it is explicitly used as a named evaluation set. Interaction accuracy should be manually checked if later added.,verified; conservative revision
paper_012,2401.04082v2.pdf,Improved Motif-Scaffolding with SE(3) Flow Matching,yes,flow matching conditional protein design model,motif scaffolding; conditional protein backbone generation; functional motif-conditioned protein design; scaffold diversity improvement,benchmark of 24 biologically meaningful motifs; PDB monomer training set,FrameFlow for motif scaffolding; SE(3) flow matching; motif amortization; motif guidance; conditional score estimation; motif data augmentation,designability / solved motifs; number of unique designable motif-scaffolds; scaffold diversity; motif RMSD; self-consistency RMSD / scRMSD; TM-score-based clustering; sampling speed,Kept “benchmark of 24 motifs” because the abstract explicitly states it. Removed vague “motif-scaffolding benchmark” duplication.,verified; minor de-duplication
paper_013,2402.18396v1.pdf,Deep Confident Steps to New Pockets: Strategies for Docking Generalization / DockGen,yes,benchmark plus docking generalization method,blind docking generalization assessment; protein binding-pocket benchmark construction; docking to unseen protein classes; confidence bootstrapping for diffusion docking,DockGen; PDBBind; Binding MOAD; DockGen benchmark; PDBBind benchmark,DockGen benchmark construction; Confidence Bootstrapping; DiffDock scaling/retraining strategy; synthetic data strategy,RMSD < 2 Å success rate; ligand RMSD; binding-site similarity; BLOSUM62 similarity; harmonic mean similarity; train-test leakage / contamination; generalization performance,"DockGen is both a benchmark object and appears in the title; keep it as dataset/benchmark, not as a proposed model method. DiffDock is the base model, not the main proposed method.",verified; schema role clarified
paper_014,2404.19739v1.pdf,FlowMol: Mixed Continuous and Categorical Flow Matching for 3D De Novo Molecule Generation,yes,flow matching molecule generation model,3D de novo molecule generation; joint generation of atom positions and atom/bond categorical variables; unconditional molecular generation,QM9; GEOM-Drugs,FlowMol; SimplexFlow; mixed continuous and categorical flow matching; probability-simplex categorical flow; GVP-based molecular generator; flow matching with explicit hydrogens and formal charges,percent atoms stable; percent molecules stable; percent molecules valid; Jensen-Shannon divergence of potential energy distributions; inference time,Removed “training loss” because it is not an evaluation metric under the current schema. Kept only metrics explicitly described in model evaluation.,verified; important hallucination removed
paper_015,2405.20313v2.pdf,FoldFlow-2: Sequence-Augmented SE(3)-Flow Matching for Conditional Protein Backbone Generation,yes,flow matching conditional protein generation model,sequence-conditioned protein backbone generation; conditional protein structure generation; unconditional protein backbone generation; equilibrium conformation sampling; motif/scaffold conditional protein design,PDB; high-quality synthetic protein structures; large-scale PDB+synthetic structure training set; VHH nanobody scaffold design set,FoldFlow-2; sequence-augmented SE(3)-flow matching; protein language model conditioning; multi-modal fusion trunk; geometric transformer decoder; Reinforced Finetuning / ReFT,designability; diversity; novelty; scRMSD; TM-score; LDDT; secondary-structure diversity; reward alignment metrics; equilibrium conformation sampling performance,Dataset names are partly descriptive rather than canonical. Keep them conservative and verify exact names before final gold.,mostly verified; dataset names need final manual check
